# x_c f_c(xc) f_c_ohne(xc)
0.1208 9.90927e-07 9.92712e-07
0.1212 9.90927e-07 9.92664e-07
0.1216 9.90927e-07 9.92616e-07
0.122 9.90927e-07 9.92567e-07
0.1224 9.90927e-07 9.92518e-07
0.1228 9.90927e-07 9.92469e-07
0.1232 9.90927e-07 9.9242e-07
0.1236 9.90927e-07 9.92371e-07
0.124 9.83477e-07 9.92322e-07
0.1244 9.90927e-07 9.92272e-07
0.1248 9.90927e-07 9.92223e-07
0.1252 9.90927e-07 9.92173e-07
0.1256 9.98378e-07 9.92123e-07
0.126 9.83477e-07 9.92073e-07
0.1264 9.83477e-07 9.92022e-07
0.1268 9.83477e-07 9.91972e-07
0.1272 9.83477e-07 9.91921e-07
0.1276 9.83477e-07 9.9187e-07
0.128 9.83477e-07 9.91819e-07
0.1284 9.83477e-07 9.91768e-07
0.1288 9.98378e-07 9.91717e-07
0.1292 9.83477e-07 9.91665e-07
0.1296 9.83477e-07 9.91614e-07
0.13 9.83477e-07 9.91562e-07
0.1304 9.83477e-07 9.9151e-07
0.1308 9.83477e-07 9.91458e-07
0.1312 9.83477e-07 9.91405e-07
0.1316 9.83477e-07 9.91353e-07
0.132 9.83477e-07 9.91301e-07
0.1324 9.98378e-07 9.91248e-07
0.1328 9.83477e-07 9.91195e-07
0.1332 9.83477e-07 9.91142e-07
0.1336 9.98378e-07 9.91089e-07
0.134 9.98378e-07 9.91035e-07
0.1344 9.83477e-07 9.90982e-07
0.1348 9.98378e-07 9.90928e-07
0.1352 9.83477e-07 9.90874e-07
0.1356 9.98378e-07 9.9082e-07
0.136 9.83477e-07 9.90766e-07
0.1364 9.83477e-07 9.90712e-07
0.1368 9.98378e-07 9.90657e-07
0.1372 9.83477e-07 9.90603e-07
0.1376 9.83477e-07 9.90548e-07
0.138 9.98378e-07 9.90493e-07
0.1384 9.83477e-07 9.90438e-07
0.1388 9.83477e-07 9.90383e-07
0.1392 9.98378e-07 9.90327e-07
0.1396 9.83477e-07 9.90272e-07
0.14 9.83477e-07 9.90216e-07
0.1404 9.83477e-07 9.9016e-07
0.1408 9.83477e-07 9.90104e-07
0.1412 9.98378e-07 9.90048e-07
0.1416 9.98378e-07 9.89991e-07
0.142 9.83477e-07 9.89935e-07
0.1424 9.83477e-07 9.89878e-07
0.1428 9.98378e-07 9.89821e-07
0.1432 9.98378e-07 9.89764e-07
0.1436 9.83477e-07 9.89707e-07
0.144 9.83477e-07 9.8965e-07
0.1444 9.98378e-07 9.89592e-07
