# x_a f_a(xa) f_a_ohne(xa)
600940 1.05206e-09 1.0733e-09
601930 1.05655e-09 1.07066e-09
602920 1.12996e-09 1.06802e-09
603910 1.0528e-09 1.0654e-09
604900 1.03854e-09 1.06278e-09
605890 1.1006e-09 1.06018e-09
606880 9.46784e-10 1.05758e-09
607870 1.09927e-09 1.055e-09
608860 1.06002e-09 1.05243e-09
609850 1.05774e-09 1.04987e-09
610840 1.12095e-09 1.04732e-09
611830 9.50166e-10 1.04478e-09
612820 1.07434e-09 1.04225e-09
613810 1.03373e-09 1.03973e-09
614800 1.07323e-09 1.03721e-09
615790 1.03337e-09 1.03471e-09
616780 9.7225e-10 1.03222e-09
617770 1.0171e-09 1.02974e-09
618760 1.015e-09 1.02727e-09
619750 1.07048e-09 1.02481e-09
620740 1.06044e-09 1.02236e-09
621730 1.03412e-09 1.01992e-09
622720 9.49598e-10 1.01749e-09
623710 1.07588e-09 1.01507e-09
624700 1.09571e-09 1.01266e-09
625690 1.07394e-09 1.01025e-09
626680 1.10366e-09 1.00786e-09
627670 9.45178e-10 1.00548e-09
628660 1.02712e-09 1.0031e-09
629650 9.84301e-10 1.00074e-09
630640 1.00385e-09 9.98383e-10
631630 1.0134e-09 9.96037e-10
632620 1.05189e-09 9.937e-10
633610 1.10057e-09 9.91372e-10
634600 1.0057e-09 9.89053e-10
635590 9.22654e-10 9.86743e-10
636580 8.48175e-10 9.84442e-10
637570 1.00488e-09 9.8215e-10
638560 1.00044e-09 9.79867e-10
639550 1.09492e-09 9.77592e-10
640540 9.95215e-10 9.75327e-10
641530 1.0252e-09 9.7307e-10
642520 9.90966e-10 9.70822e-10
643510 1.0193e-09 9.68582e-10
644500 9.05786e-10 9.66351e-10
645490 9.62558e-10 9.64129e-10
646480 1.07815e-09 9.61915e-10
647470 8.76511e-10 9.5971e-10
648460 9.3425e-10 9.57513e-10
649450 9.17822e-10 9.55324e-10
650440 1.06593e-09 9.53144e-10
651430 1.01727e-09 9.50972e-10
652420 8.67885e-10 9.48809e-10
653410 8.55721e-10 9.46653e-10
654400 9.004e-10 9.44506e-10
655390 1.0067e-09 9.42366e-10
656380 9.22e-10 9.40235e-10
657370 9.35472e-10 9.38112e-10
658360 9.93339e-10 9.35997e-10
659350 9.41299e-10 9.3389e-10
660340 9.00712e-10 9.3179e-10
661330 9.49825e-10 9.29699e-10
662320 1.02017e-09 9.27615e-10
663310 9.27088e-10 9.25539e-10
664300 8.21956e-10 9.23471e-10
665290 8.69306e-10 9.2141e-10
666280 1.03068e-09 9.19357e-10
667270 9.32118e-10 9.17312e-10
668260 8.40942e-10 9.15274e-10
669250 8.78345e-10 9.13244e-10
670240 9.03526e-10 9.11222e-10
671230 9.8953e-10 9.09206e-10
672220 8.34888e-10 9.07199e-10
673210 8.56161e-10 9.05198e-10
674200 8.39108e-10 9.03205e-10
675190 8.6122e-10 9.01219e-10
676180 9.27272e-10 8.99241e-10
677170 9.25624e-10 8.9727e-10
678160 9.05089e-10 8.95305e-10
679150 8.98837e-10 8.93349e-10
680140 9.82936e-10 8.91399e-10
681130 1.0503e-09 8.89456e-10
682120 8.12463e-10 8.8752e-10
683110 9.12223e-10 8.85592e-10
684100 8.60666e-10 8.8367e-10
685090 9.8467e-10 8.81755e-10
686080 1.05004e-09 8.79847e-10
687070 9.46059e-10 8.77946e-10
688060 8.50449e-10 8.76052e-10
689050 8.13742e-10 8.74165e-10
690040 8.8707e-10 8.72284e-10
691030 8.46768e-10 8.70411e-10
692020 8.78686e-10 8.68543e-10
693010 8.44238e-10 8.66683e-10
694000 8.01521e-10 8.64829e-10
694990 8.68937e-10 8.62982e-10
695980 7.22338e-10 8.61141e-10
696970 8.51287e-10 8.59307e-10
697960 8.31278e-10 8.57479e-10
698950 8.43556e-10 8.55658e-10
699940 8.01265e-10 8.53844e-10
700930 8.48559e-10 8.52035e-10
701920 8.80107e-10 8.50233e-10
702910 9.78631e-10 8.48438e-10
703900 8.09678e-10 8.46648e-10
704890 9.02901e-10 8.44865e-10
705880 9.01039e-10 8.43089e-10
706870 8.43201e-10 8.41318e-10
707860 8.11013e-10 8.39554e-10
708850 8.74394e-10 8.37795e-10
709840 7.15715e-10 8.36043e-10
710830 7.93193e-10 8.34297e-10
711820 8.2747e-10 8.32558e-10
712810 8.63253e-10 8.30824e-10
713800 8.26276e-10 8.29096e-10
714790 8.92214e-10 8.27374e-10
715780 8.57796e-10 8.25658e-10
716770 8.94687e-10 8.23948e-10
717760 8.23789e-10 8.22244e-10
718750 8.29914e-10 8.20546e-10
719740 7.80801e-10 8.18853e-10
720730 8.21288e-10 8.17167e-10
721720 8.09621e-10 8.15486e-10
722710 7.81341e-10 8.13811e-10
723700 8.9284e-10 8.12142e-10
724690 7.39021e-10 8.10478e-10
725680 8.26276e-10 8.0882e-10
726670 8.6311e-10 8.07168e-10
727660 8.48104e-10 8.05521e-10
728650 7.39675e-10 8.0388e-10
729640 6.50061e-10 8.02244e-10
730630 7.9325e-10 8.00614e-10
731620 8.40828e-10 7.9899e-10
732610 8.24187e-10 7.97371e-10
733600 8.14225e-10 7.95757e-10
734590 8.28152e-10 7.94149e-10
735580 7.85803e-10 7.92546e-10
736570 7.87338e-10 7.90949e-10
737560 8.42022e-10 7.89357e-10
738550 8.01833e-10 7.8777e-10
739540 7.09093e-10 7.86189e-10
740530 8.0712e-10 7.84613e-10
741520 7.39703e-10 7.83042e-10
742510 7.80972e-10 7.81477e-10
743500 7.42148e-10 7.79917e-10
744490 6.57337e-10 7.78361e-10
745480 7.19069e-10 7.76811e-10
746470 7.7263e-10 7.75267e-10
747460 7.1708e-10 7.73727e-10
748450 7.80489e-10 7.72192e-10
749440 7.15147e-10 7.70663e-10
750430 7.92028e-10 7.69138e-10
751420 8.11212e-10 7.67618e-10
752410 6.94882e-10 7.66104e-10
753400 8.14907e-10 7.64594e-10
754390 6.53074e-10 7.6309e-10
755380 7.46439e-10 7.6159e-10
756370 7.76481e-10 7.60095e-10
757360 7.41437e-10 7.58606e-10
758350 6.89397e-10 7.57121e-10
759340 7.39334e-10 7.5564e-10
760330 8.33438e-10 7.54165e-10
761320 7.06905e-10 7.52694e-10
762310 7.02698e-10 7.51229e-10
763300 6.97483e-10 7.49768e-10
764290 7.42261e-10 7.48311e-10
765280 7.68338e-10 7.4686e-10
766270 6.81894e-10 7.45413e-10
767260 7.36577e-10 7.43971e-10
768250 7.23105e-10 7.42533e-10
769240 8.38156e-10 7.411e-10
770230 7.1563e-10 7.39672e-10
771220 8.43329e-10 7.38248e-10
772210 7.58149e-10 7.36829e-10
773200 8.07518e-10 7.35414e-10
774190 6.46423e-10 7.34004e-10
775180 6.29996e-10 7.32598e-10
776170 6.78597e-10 7.31197e-10
777160 7.62213e-10 7.298e-10
