# x_b f_b(xb) f_b_ohne(xb)
6.771e-05 0 3.3855e-05
6.7909e-05 0 3.39545e-05
6.8108e-05 0 3.4054e-05
6.8307e-05 0 3.41535e-05
6.8506e-05 0 3.4253e-05
6.8705e-05 0 3.43525e-05
6.8904e-05 0 3.4452e-05
6.9103e-05 0 3.45515e-05
6.9302e-05 0 3.4651e-05
6.9501e-05 0 3.47505e-05
6.97e-05 0 3.485e-05
6.9899e-05 0 3.49495e-05
7.0098e-05 0 3.5049e-05
7.0297e-05 0 3.51485e-05
7.0496e-05 0 3.5248e-05
7.0695e-05 0 3.53475e-05
7.0894e-05 0 3.5447e-05
7.1093e-05 0 3.55465e-05
7.1292e-05 0 3.5646e-05
7.1491e-05 0 3.57455e-05
7.169e-05 0 3.5845e-05
7.1889e-05 0 3.59445e-05
7.2088e-05 0 3.6044e-05
7.2287e-05 0 3.61435e-05
7.2486e-05 0 3.6243e-05
7.2685e-05 0 3.63425e-05
7.2884e-05 0 3.6442e-05
7.3083e-05 0 3.65415e-05
7.3282e-05 0 3.6641e-05
7.3481e-05 0 3.67405e-05
7.368e-05 0 3.684e-05
7.3879e-05 0 3.69395e-05
7.4078e-05 0 3.7039e-05
7.4277e-05 0 3.71385e-05
7.4476e-05 0 3.7238e-05
7.4675e-05 0 3.73375e-05
7.4874e-05 0 3.7437e-05
7.5073e-05 0 3.75365e-05
7.5272e-05 0 3.7636e-05
7.5471e-05 0 3.77355e-05
7.567e-05 0 3.7835e-05
7.5869e-05 0 3.79345e-05
7.6068e-05 0 3.8034e-05
7.6267e-05 0 3.81335e-05
7.6466e-05 0 3.8233e-05
7.6665e-05 0 3.83325e-05
7.6864e-05 0 3.8432e-05
7.7063e-05 0 3.85315e-05
7.7262e-05 0 3.8631e-05
7.7461e-05 0 3.87304e-05
7.766e-05 0 3.88299e-05
7.7859e-05 0 3.89294e-05
7.8058e-05 0 3.90289e-05
7.8257e-05 0 3.91284e-05
7.8456e-05 0 3.92279e-05
7.8655e-05 0 3.93274e-05
7.8854e-05 0 3.94269e-05
7.9053e-05 0 3.95264e-05
7.9252e-05 0 3.96259e-05
7.9451e-05 0 3.97254e-05
7.965e-05 0 3.98249e-05
7.9849e-05 0 3.99244e-05
8.0048e-05 0 4.00239e-05
8.0247e-05 0 4.01234e-05
8.0446e-05 0 4.02229e-05
8.0645e-05 0 4.03224e-05
8.0844e-05 0 4.04219e-05
8.1043e-05 0 4.05214e-05
8.1242e-05 0 4.06209e-05
8.1441e-05 0 4.07204e-05
8.164e-05 0 4.08199e-05
8.1839e-05 0 4.09194e-05
8.2038e-05 0 4.10189e-05
8.2237e-05 0 4.11184e-05
8.2436e-05 0 4.12179e-05
8.2635e-05 0 4.13174e-05
8.2834e-05 0 4.14169e-05
8.3033e-05 0 4.15164e-05
8.3232e-05 0 4.16159e-05
8.3431e-05 0 4.17154e-05
8.363e-05 0 4.18149e-05
8.3829e-05 0 4.19144e-05
8.4028e-05 0 4.20139e-05
8.4227e-05 0 4.21134e-05
8.4426e-05 0 4.22129e-05
8.4625e-05 0 4.23124e-05
8.4824e-05 0 4.24119e-05
8.5023e-05 0 4.25114e-05
8.5222e-05 0 4.26109e-05
8.5421e-05 0 4.27104e-05
8.562e-05 0 4.28099e-05
8.5819e-05 0 4.29094e-05
8.6018e-05 0 4.30089e-05
8.6217e-05 0 4.31084e-05
8.6416e-05 0 4.32079e-05
8.6615e-05 0 4.33074e-05
8.6814e-05 0 4.34069e-05
